text,label
"the casino has an old appearance , decor .",2
dishonest and high pressure .,2
my super picky family left raving about how delicious and fresh everything was .,2
it 's just a pool and a small hot tub .,2
wo n't come back to harrahs again .,2
i liked this hotel !,2
the food and drinks were good too .,2
unfortunately my girlfriend and i made the mistake of actually getting a room here .,2
"all in all , i would not go back .",2
the chinese chicken salad is a great compliment and totally delicious .,2
the front desk lady kept trying to put me into a smaller room .,2
our server was also very friendly and did a great job .,2
the stuffed dates are excellent and the mac & cheese is heaven .,2
even if i had a free night i would not stay there again .,2
they sent me to new york new york .,2
i think i have a new favorite shoe store !,2
our server was neil and he was very informative and attentive to our needs .,2
"i love tapas , and these guys do it well .",2
i got a small beef taco and a chicken taco .,2
having a view of the fountains during dinner was an added bonus .,2
everything i 've tried here so far was really good .,2
the kitchen could n't even spare a second to check if it was done ?,2
my husband and i were asked _num_ times in one day before _num_ am .,2
very attentive and compassionate .,2
was not greeted by cashier .,2
a testament to it 's goodness !,2
why not just update all the rooms ?,2
much better filipino food elsewhere and not overpriced as this place .,2
the kids had such a good time !,2
no bacon at the buffet breakfast !,2
stay far away from this place !,2
everything we had was absolutely yummy .,2
my husband was ill and stayed behind .,2
"great atmosphere , but the food was unremarkable and overpriced .",2
the reason why i gave it another star was because of the customer service .,2
but alize should really just give up already .,2
by far one of the best experiences i have had in vegas !,2
"customer service is pretty much non existent , they 're rude and slow .",2
the bread was freaking awesome !,2
by far one of my favorite places to dine in vegas !,2
"the steak was perfect , flavorful , tender , and delicious .",2
best wig shop hands down in vegas .,2
small plates so bring other people and order a lot to share .,2
also the annoying security asking for room keys everytime by the elevators !,2
"he was prompt on delivery and pick up , and set up everything nicely .",2
this is the worst vegas experience i have ever had .,2
i will not be staying at this hotel in the future .,2
also ... the ac units are crazy loud .,2
it is always a fun time at circus circus .,2
by $ _num_ really ?,2
my favorite place to come when in las vegas .,2
"the bacon wrapped dates are amazing , the flavor combination is great .",2
", and the decor is generic and worn .",2
good sangria and excellent tapas !,2
